clusterID	N	coord	gene	annotation	FDR	chr	Type	Tissue
clu_126328_-	5	chr1:43451071-43451428	HYI	cryptic	0.0315	chr1	DTU	DLPFC
clu_52201_-	2	chr2:162273944-162276687	IFIH1	cryptic	0.0315	chr2	DTU	DLPFC
clu_55786_+	3	chr1:43598913-43603416	PTPRF	annotated	0.0316	chr1	DTU	DLPFC
clu_45952_+	5	chr12:56118318-56128540	ZC3H10	cryptic	0.0316	chr12	DTU	DLPFC
clu_32747_-	11	chr16:48085706-48088545	ABCC12	cryptic	0.0319	chr16	DTU	DLPFC
clu_134491_+	9	chr15:47184418-47470474	SEMA6D	cryptic	0.032	chr15	DTU	DLPFC
clu_32482_-	3	chr16:29872526-29873240	SEZ6L2	annotated	0.032	chr16	DTU	DLPFC
clu_2144_?	6	chr21:25982477-26021840	APP	annotated	0.032	chr21	DTU	DLPFC
clu_167025_+	2	chr16:58463797-58487756	NDRG4	annotated	0.0322	chr16	DTU	DLPFC
clu_87118_+	7	chr3:152269092-152414941	MBNL1	cryptic	0.0326	chr3	DTU	DLPFC
clu_127858_-	28	chr1:121942381-122055205	.	annotated	0.0328	chr1	DTU	DLPFC
clu_167977_+	5	chr16:89532636-89544648	SPG7	cryptic	0.0331	chr16	DTU	DLPFC
clu_115470_+	5	chr8:84774654-84862296	RALYL	annotated	0.0332	chr8	DTU	DLPFC
clu_45220_+	4	chr12:26122152-26224293	SSPN	annotated	0.0335	chr12	DTU	DLPFC
clu_145900_+	4	chr14:76177931-76180764	GPATCH2L	annotated	0.0335	chr14	DTU	DLPFC
clu_79987_+	4	chr9:113508580-113517548	RGS3	cryptic	0.0335	chr9	DTU	DLPFC
clu_32017_-	2	chr16:18389845-18390748	PKD1P5	cryptic	0.0336	chr16	DTU	DLPFC
clu_117743_-	2	chr12:53160271-53160763	CSAD	cryptic	0.0338	chr12	DTU	DLPFC
clu_47478_+	2	chr12:120661218-120680308	CABP1	cryptic	0.034	chr12	DTU	DLPFC
clu_137977_+	3	chr2:54456518-54526372	SPTBN1	cryptic	0.034	chr2	DTU	DLPFC
clu_5638_-	3	chr11:64623078-64630402	NRXN2	annotated	0.0343	chr11	DTU	DLPFC
clu_60645_+	3	chr1:237723262-237727087	RYR2	annotated	0.035	chr1	DTU	DLPFC
clu_117075_-	6	chr12:30716676-30723259	CAPRIN2	cryptic	0.035	chr12	DTU	DLPFC
clu_4448_-	15	chr11:10634071-10693820	MRVI1	cryptic	0.0351	chr11	DTU	DLPFC
clu_117132_-	3	chr12:32747363-32750719	YARS2	cryptic	0.0351	chr12	DTU	DLPFC
clu_30247_+	5	chr20:35474052-35476449	CEP250	annotated	0.0355	chr20	DTU	DLPFC
clu_147026_-	88	chrY:20090088-20350814	.	annotated	0.0355	chrY	DTU	DLPFC
clu_18918_-	3	chr3:57633354-57634704	DENND6A	cryptic	0.0356	chr3	DTU	DLPFC
clu_140172_+	5	chr2:172469380-172474055	ITGA6	annotated	0.0357	chr2	DTU	DLPFC
clu_136888_?	19	chr20:63401793-63402259	.	annotated	0.0357	chr20	DTU	DLPFC
clu_86695_+	2	chr3:127030064-127030255	PLXNA1	cryptic	0.0358	chr3	DTU	DLPFC
clu_133717_+	2	chr15:29054835-29074921	APBA2	annotated	0.0359	chr15	DTU	DLPFC
clu_67140_+	5	chr22:20980119-20980992	AIFM3	cryptic	0.0359	chr22	DTU	DLPFC
clu_44261_-	5	chr9:137352724-137354339	EXD3	cryptic	0.0359	chr9	DTU	DLPFC
clu_53791_+	3	chr1:852110-853391	LINC01128	annotated	0.0363	chr1	DTU	DLPFC
clu_20451_-	3	chr3:167282495-167298305	ZBBX	annotated	0.0366	chr3	DTU	DLPFC
clu_130837_+	8	chr10:10919999-11165486	CELF2	cryptic	0.0367	chr10	DTU	DLPFC
clu_10429_-	6	chr15:56707306-56827524	ZNF280D	cryptic	0.0367	chr15	DTU	DLPFC
clu_144752_+	6	chr14:23990359-24004337	DHRS4L2	cryptic	0.0368	chr14	DTU	DLPFC
clu_165155_+	2	chr16:1965129-1965406	SNHG9	cryptic	0.0368	chr16	DTU	DLPFC
clu_4022_-	3	chr22:50777981-50782188	RABL2B	cryptic	0.0368	chr22	DTU	DLPFC
clu_69577_?	3	chr19:18995280-19001613	SUGP2	annotated	0.037	chr19	DTU	DLPFC
clu_487_-	7	chrX:43843764-43882254	MAOB	cryptic	0.0371	chrX	DTU	DLPFC
clu_90459_-	5	chr17:18330671-18340043	SHMT1	cryptic	0.0372	chr17	DTU	DLPFC
clu_163095_-	15	chr4:99879747-99879973	.	annotated	0.0372	chr4	DTU	DLPFC
clu_161789_-	3	chr4:4423587-4434770	STX18	annotated	0.0373	chr4	DTU	DLPFC
clu_128264_-	3	chr1:149069645-149072718	NBPF9	annotated	0.0374	chr1	DTU	DLPFC
clu_23392_-	2	chr10:103090638-103090936	NT5C2	cryptic	0.0374	chr10	DTU	DLPFC
clu_85856_+	3	chr3:58008856-58077050	FLNB	cryptic	0.0374	chr3	DTU	DLPFC
clu_117864_-	2	chr12:55697277-55697451	ITGA7	cryptic	0.0377	chr12	DTU	DLPFC
clu_20978_-	4	chr3:195867016-195867361	TNK2	annotated	0.0377	chr3	DTU	DLPFC
clu_55130_+	10	chr1:31297075-31338957	ZCCHC17	cryptic	0.0379	chr1	DTU	DLPFC
clu_4244_-	4	chr11:3782145-3797400	NUP98	cryptic	0.038	chr11	DTU	DLPFC
clu_133388_+	6	chr15:22561789-22562949	HERC2P2	cryptic	0.038	chr15	DTU	DLPFC
clu_91000_-	6	chr17:37339850-37406262	ACACA	annotated	0.0381	chr17	DTU	DLPFC
clu_119296_-	3	chr12:120170321-120175162	GCN1	cryptic	0.0383	chr12	DTU	DLPFC
clu_89359_?	4	chr14:103913984-103921470	C14orf2	annotated	0.0383	chr14	DTU	DLPFC
clu_86829_+	2	chr3:132496663-132499126	DNAJC13	cryptic	0.0386	chr3	DTU	DLPFC
clu_110656_+	4	chr4:733789-734931	PCGF3	cryptic	0.0386	chr4	DTU	DLPFC
clu_114696_+	2	chr8:28622810-28713457	EXTL3	annotated	0.0386	chr8	DTU	DLPFC
clu_79139_+	2	chr9:64403787-64407845	ANKRD20A4	cryptic	0.0387	chr9	DTU	DLPFC
clu_135460_+	2	chr15:85114037-85115439	PDE8A	cryptic	0.0389	chr15	DTU	DLPFC
clu_146822_+	2	chr14:105382577-105382807	PACS2	cryptic	0.039	chr14	DTU	DLPFC
clu_86274_+	10	chr3:100320971-100348803	NIT2	cryptic	0.0391	chr3	DTU	DLPFC
clu_72356_+	3	chr5:70751232-70789208	RP11-589F5.4	cryptic	0.0391	chr5	DTU	DLPFC
clu_130431_-	2	chr1:241098762-241355699	RGS7	cryptic	0.0392	chr1	DTU	DLPFC
clu_92259_-	4	chr17:64758379-64761916	ARHGAP27P1-BPTFP1-KPNA2P3	cryptic	0.0393	chr17	DTU	DLPFC
clu_130248_-	5	chr1:230954378-230958224	TTC13	cryptic	0.0394	chr1	DTU	DLPFC
clu_84307_+	2	chr3:4683551-4683648	ITPR1	cryptic	0.0394	chr3	DTU	DLPFC
clu_84788_+	4	chr3:25580722-25594520	RARB	annotated	0.0398	chr3	DTU	DLPFC
clu_73004_+	2	chr5:96695907-96722639	CAST	annotated	0.0398	chr5	DTU	DLPFC
clu_114655_+	3	chr8:27450895-27451485	PTK2B	cryptic	0.0398	chr8	DTU	DLPFC
clu_46214_+	3	chr12:62565380-62566322	MON2	annotated	0.0399	chr12	DTU	DLPFC
clu_97713_?	4	chr12:76056158-76059798	NAP1L1	annotated	0.0399	chr12	DTU	DLPFC
clu_50309_-	3	chr2:63965875-63968957	VPS54	cryptic	0.0399	chr2	DTU	DLPFC
clu_115243_+	3	chr8:66444748-66447264	ADHFE1	annotated	0.0399	chr8	DTU	DLPFC
clu_134378_+	4	chr15:43696363-43698641	CKMT1A	cryptic	0.04	chr15	DTU	DLPFC
clu_138738_+	12	chr2:88179013-88185933	THNSL2	cryptic	0.04	chr2	DTU	DLPFC
clu_133383_+	2	chr15:22554546-22556012	HERC2P2	cryptic	0.0401	chr15	DTU	DLPFC
clu_14502_-	4	chr8:27610600-27614655	CLU	annotated	0.0401	chr8	DTU	DLPFC
clu_36860_+	4	chr13:113233339-113235070	CUL4A	cryptic	0.0402	chr13	DTU	DLPFC
clu_77273_-	2	chr14:57231612-57232667	EXOC5	cryptic	0.0402	chr14	DTU	DLPFC
clu_158477_-	7	chr7:11375878-11382521	THSD7A	cryptic	0.0402	chr7	DTU	DLPFC
clu_6136_-	2	chr11:73718718-73720846	RAB6A	annotated	0.0404	chr11	DTU	DLPFC
clu_6487_-	2	chr11:93733397-93734625	TAF1D	annotated	0.0404	chr11	DTU	DLPFC
clu_23245_-	7	chr10:100253539-100267571	CWF19L1	cryptic	0.0405	chr10	DTU	DLPFC
clu_120327_+	4	chr19:4210372-4212475	ANKRD24	cryptic	0.0405	chr19	DTU	DLPFC
clu_117172_-	3	chr12:39326324-39330746	KIF21A	annotated	0.0406	chr12	DTU	DLPFC
clu_50835_-	10	chr2:92189639-92234146	.	annotated	0.0406	chr2	DTU	DLPFC
clu_130245_-	4	chr1:230916299-230920546	TTC13	cryptic	0.0407	chr1	DTU	DLPFC
clu_59435_+	2	chr1:179884769-179889313	TOR1AIP1	annotated	0.0407	chr1	DTU	DLPFC
clu_117341_-	2	chr12:48337163-48344599	ZNF641	cryptic	0.0407	chr12	DTU	DLPFC
clu_119610_-	3	chr12:124913352-124913684	.	annotated	0.0407	chr12	DTU	DLPFC
clu_175891_+	5	chr7:43758734-43787904	BLVRA	cryptic	0.0407	chr7	DTU	DLPFC
clu_61249_+	5	chrX:24149794-24172715	ZFX	annotated	0.0409	chrX	DTU	DLPFC
clu_63994_-	2	chr19:9989366-9989469	COL5A3	cryptic	0.041	chr19	DTU	DLPFC
clu_110328_+	3	chr6:158093104-158095618	SYNJ2	cryptic	0.041	chr6	DTU	DLPFC
clu_46933_+	4	chr12:104339273-104381786	TXNRD1	cryptic	0.0418	chr12	DTU	DLPFC
clu_64637_-	3	chr19:17648983-17649509	UNC13A	annotated	0.0418	chr19	DTU	DLPFC
clu_143584_-	3	chr6:109444995-109445416	MICAL1	cryptic	0.0418	chr6	DTU	DLPFC
clu_133639_+	3	chr15:25184075-25185443	SNHG14	cryptic	0.0422	chr15	DTU	DLPFC
clu_22659_-	6	chr10:73299665-73312473	CFAP70	cryptic	0.0425	chr10	DTU	DLPFC
clu_151259_+	6	chr11:90158238-90163314	NAALAD2	cryptic	0.0427	chr11	DTU	DLPFC
clu_55646_+	2	chr1:40753246-40758124	NFYC	annotated	0.0428	chr1	DTU	DLPFC
clu_134376_+	2	chr15:43595469-43595900	CKMT1B	annotated	0.0428	chr15	DTU	DLPFC
clu_26086_-	8	chr5:138201448-138213152	CDC23	cryptic	0.0428	chr5	DTU	DLPFC
clu_43198_-	3	chr9:108912494-108916204	IKBKAP	cryptic	0.0428	chr9	DTU	DLPFC
clu_166780_+	3	chr16:50066269-50068780	HEATR3	annotated	0.043	chr16	DTU	DLPFC
clu_46051_+	3	chr12:57489558-57490207	MARS	annotated	0.0433	chr12	DTU	DLPFC
clu_46145_+	3	chr12:57613760-57614331	ARHGEF25	cryptic	0.0433	chr12	DTU	DLPFC
clu_166680_+	3	chr16:31380624-31380952	ITGAX	cryptic	0.0433	chr16	DTU	DLPFC
clu_93803_?	2	chr5:55942751-55951464	IL6ST	annotated	0.0434	chr5	DTU	DLPFC
clu_151733_+	4	chr11:118406976-118431024	ATP5L	cryptic	0.0437	chr11	DTU	DLPFC
clu_155741_+	6	chr17:32208309-32224616	RHOT1	annotated	0.044	chr17	DTU	DLPFC
clu_120116_+	3	chr19:1941418-1969508	CSNK1G2	annotated	0.044	chr19	DTU	DLPFC
clu_139327_+	2	chr2:113192589-113193258	PSD4	annotated	0.044	chr2	DTU	DLPFC
clu_18747_-	3	chr3:52763624-52766178	NEK4	cryptic	0.0442	chr3	DTU	DLPFC
clu_130093_-	4	chr1:225862347-225862463	TMEM63A	cryptic	0.0443	chr1	DTU	DLPFC
clu_90263_-	3	chr17:10691960-10692764	SCO1	cryptic	0.0443	chr17	DTU	DLPFC
clu_120741_+	3	chr19:10628004-10634756	SLC44A2	annotated	0.0443	chr19	DTU	DLPFC
clu_53382_-	7	chr2:229880128-229923148	TRIP12	cryptic	0.0443	chr2	DTU	DLPFC
clu_145507_+	31	chr14:64502676-64564751	ZBTB1	cryptic	0.0446	chr14	DTU	DLPFC
clu_77257_-	2	chr14:55380690-55381962	ATG14	cryptic	0.0446	chr14	DTU	DLPFC
clu_9721_-	5	chr15:34407735-34551138	GOLGA8A	cryptic	0.0446	chr15	DTU	DLPFC
clu_40734_+	3	chr21:7462991-7467023	CH507-254M2.2	annotated	0.0446	chr21	DTU	DLPFC
clu_13574_?	3	chr22:40827229-40830840	ST13	cryptic	0.0446	chr22	DTU	DLPFC
clu_157764_+	17	chr17:78232213-78239024	TMEM235	cryptic	0.0448	chr17	DTU	DLPFC
clu_129722_-	4	chr1:205664886-205680394	SLC45A3	cryptic	0.0449	chr1	DTU	DLPFC
clu_74605_+	10	chr5:178009381-178035096	FAM153C	cryptic	0.0451	chr5	DTU	DLPFC
clu_56772_+	2	chr1:93530883-93532922	FNBP1L	cryptic	0.0453	chr1	DTU	DLPFC
clu_156067_+	2	chr17:39996338-39997330	PSMD3	annotated	0.0455	chr17	DTU	DLPFC
clu_166569_+	4	chr16:30698461-30699908	SRCAP	cryptic	0.0456	chr16	DTU	DLPFC
clu_141967_-	5	chr6:11005559-11044228	ELOVL2	cryptic	0.046	chr6	DTU	DLPFC
clu_124491_-	2	chr1:1637513-1637762	CDK11B	cryptic	0.0461	chr1	DTU	DLPFC
clu_41906_-	22	chr9:25891769-26424109	.	annotated	0.0463	chr9	DTU	DLPFC
clu_11596_-	3	chr15:101654730-101656922	TARSL2	annotated	0.0465	chr15	DTU	DLPFC
clu_161902_-	7	chr4:9224619-9243603	.	annotated	0.0466	chr4	DTU	DLPFC
clu_24114_-	4	chr5:850602-878355	BRD9	cryptic	0.0466	chr5	DTU	DLPFC
clu_73140_+	5	chr5:112821991-112834951	APC	annotated	0.0466	chr5	DTU	DLPFC
clu_175345_+	4	chr7:7234539-7238255	C1GALT1	cryptic	0.0466	chr7	DTU	DLPFC
clu_166274_+	2	chr16:27773209-27774945	KIAA0556	cryptic	0.0468	chr16	DTU	DLPFC
clu_167906_+	3	chr16:88623344-88624602	ZC3H18	cryptic	0.0468	chr16	DTU	DLPFC
clu_90322_-	3	chr17:15683157-15684196	TRIM16	cryptic	0.0468	chr17	DTU	DLPFC
clu_164684_-	5	chr21:43051352-43051764	.	annotated	0.0468	chr21	DTU	DLPFC
clu_84887_+	4	chr3:35715476-35721605	ARPP21	cryptic	0.0468	chr3	DTU	DLPFC
clu_116315_+	2	chr8:144258914-144259240	MROH1	cryptic	0.0468	chr8	DTU	DLPFC
clu_74024_+	10	chr5:151447813-151458788	SLC36A1	cryptic	0.0469	chr5	DTU	DLPFC
clu_129232_-	2	chr1:175528369-175743226	TNR	annotated	0.047	chr1	DTU	DLPFC
clu_41959_-	3	chr9:32473065-32480219	DDX58	cryptic	0.047	chr9	DTU	DLPFC
clu_16465_+	4	chr18:8720496-8777833	MTCL1	cryptic	0.0471	chr18	DTU	DLPFC
clu_97355_?	3	chr12:54963950-54966388	TESPA1	annotated	0.0472	chr12	DTU	DLPFC
clu_45130_+	2	chr12:19652023-19671139	.	annotated	0.0474	chr12	DTU	DLPFC
clu_140464_+	6	chr2:191400468-191408115	MYO1B	cryptic	0.0474	chr2	DTU	DLPFC
clu_164546_-	3	chr21:37840709-37915884	KCNJ6	cryptic	0.0474	chr21	DTU	DLPFC
clu_157146_+	2	chr17:63688594-63688789	MAP3K3	cryptic	0.0475	chr17	DTU	DLPFC
clu_130195_-	4	chr1:229325411-229342099	CCSAP	cryptic	0.0476	chr1	DTU	DLPFC
clu_62705_+	2	chrX:135580162-135581050	INTS6L	cryptic	0.0476	chrX	DTU	DLPFC
clu_45931_+	2	chr12:55991453-55992102	RAB5B	cryptic	0.0478	chr12	DTU	DLPFC
clu_73099_+	3	chr5:109823837-109842328	MAN2A1	cryptic	0.0478	chr5	DTU	DLPFC
clu_1973_-	2	chrX:155415646-155419419	.	annotated	0.0478	chrX	DTU	DLPFC
clu_77610_-	3	chr14:74685660-74692041	AREL1	cryptic	0.0479	chr14	DTU	DLPFC
clu_115361_+	2	chr8:73024971-73026944	TERF1	cryptic	0.0479	chr8	DTU	DLPFC
clu_109211_+	3	chr6:78867891-78885382	IRAK1BP1	cryptic	0.0484	chr6	DTU	DLPFC
clu_16586_+	6	chr18:13105079-13116377	CEP192	cryptic	0.0485	chr18	DTU	DLPFC
clu_128738_-	2	chr1:155257334-155257498	SCAMP3	cryptic	0.0486	chr1	DTU	DLPFC
clu_36264_+	5	chr13:46712597-46723221	LRCH1	cryptic	0.0487	chr13	DTU	DLPFC
clu_139189_+	3	chr2:108485867-108486511	GCC2	cryptic	0.0487	chr2	DTU	DLPFC
clu_68391_+	3	chr22:46335846-46337779	TRMU	annotated	0.0487	chr22	DTU	DLPFC
clu_73364_+	2	chr5:131391108-131391918	CDC42SE2	cryptic	0.0487	chr5	DTU	DLPFC
clu_74795_-	7	chr20:1455037-1458200	NSFL1C	cryptic	0.0491	chr20	DTU	DLPFC
clu_45604_+	3	chr12:49634092-49634538	PRPF40B	cryptic	0.0492	chr12	DTU	DLPFC
clu_157916_+	2	chr17:81100080-81110277	BAIAP2	annotated	0.0492	chr17	DTU	DLPFC
clu_113356_?	3	chr18:21779685-21819495	MIB1	annotated	0.0492	chr18	DTU	DLPFC
clu_64478_-	3	chr19:15181801-15184906	NOTCH3	annotated	0.0492	chr19	DTU	DLPFC
clu_66788_-	4	chr19:56836104-56840587	PEG3	cryptic	0.0492	chr19	DTU	DLPFC
clu_164742_-	2	chr21:44886900-44888693	ITGB2	cryptic	0.0492	chr21	DTU	DLPFC
clu_24781_-	57	chr5:49611401-49646707	.	annotated	0.0492	chr5	DTU	DLPFC
clu_114959_+	3	chr8:42338685-42344953	POLB	annotated	0.0492	chr8	DTU	DLPFC
clu_4579_-	2	chr11:17091459-17091585	PIK3C2A	cryptic	0.0493	chr11	DTU	DLPFC
clu_79779_+	11	chr9:100126549-100226100	INVS	cryptic	0.0493	chr9	DTU	DLPFC
clu_133379_+	6	chr15:22579723-22589943	HERC2P2	cryptic	0.0496	chr15	DTU	DLPFC
clu_84356_+	5	chr3:9433950-9434334	SETD5	cryptic	0.0496	chr3	DTU	DLPFC
clu_25231_-	3	chr5:74738417-74739989	GFM2	annotated	0.0496	chr5	DTU	DLPFC
clu_160720_-	5	chr7:128400536-128401015	IMPDH1	annotated	0.0496	chr7	DTU	DLPFC
clu_176369_+	3	chr7:70435781-70698569	AUTS2	cryptic	0.0496	chr7	DTU	DLPFC
clu_132307_+	3	chr10:92621473-92630176	KIF11	cryptic	0.0497	chr10	DTU	DLPFC
clu_89263_?	8	chr14:100361921-100376260	WARS	cryptic	0.0497	chr14	DTU	DLPFC
clu_29401_+	3	chr20:353306-354112	NRSN2	cryptic	0.0497	chr20	DTU	DLPFC
clu_75821_-	4	chr20:44622930-44624202	ADA	cryptic	0.0497	chr20	DTU	DLPFC
clu_72680_+	5	chr5:74713635-74718291	HEXB	cryptic	0.0497	chr5	DTU	DLPFC
clu_80494_+	3	chr9:128788407-128791380	TBC1D13	annotated	0.0497	chr9	DTU	DLPFC
clu_71861_+	6	chr3:129488397-129499902	IFT122	cryptic	9.94e-66	chr3	DTU	Dentate Gyrus
clu_97155_-	12	chr12:124911899-124913725	UBC	cryptic	2.23e-61	chr12	DTU	Dentate Gyrus
clu_56723_+	19	chr22:45323427-45332425	FAM118A	cryptic	1.1200000000000001e-58	chr22	DTU	Dentate Gyrus
clu_97156_-	24	chr12:124911952-124913549	UBC	cryptic	7.89e-49	chr12	DTU	Dentate Gyrus
clu_87410_+	10	chr6:26440648-26443957	BTN3A3	cryptic	8.92e-49	chr6	DTU	Dentate Gyrus
clu_112823_+	18	chr2:39518710-39665202	AC007246.3	cryptic	1.12e-37	chr2	DTU	Dentate Gyrus
clu_63473_-	6	chr14:22905221-22906195	RBM23	cryptic	2.29e-36	chr14	DTU	Dentate Gyrus
clu_74099_-	3	chr17:3679784-3688012	P2RX5	annotated	1.13e-33	chr17	DTU	Dentate Gyrus
clu_109498_+	4	chr15:25240212-25242072	SNHG14	cryptic	1.0200000000000001e-29	chr15	DTU	Dentate Gyrus
clu_127839_+	15	chr17:55774859-55938659	PCTP	cryptic	1.0500000000000001e-29	chr17	DTU	Dentate Gyrus
clu_101521_-	7	chr1:1668472-1675463	SLC35E2B	cryptic	3.01e-26	chr1	DTU	Dentate Gyrus
clu_61819_+	3	chr5:177951956-177957609	RP11-423H2.3	cryptic	6.3299999999999995e-25	chr5	DTU	Dentate Gyrus
clu_122192_+	8	chr11:62856381-62881019	SLC3A2	annotated	2.5e-24	chr11	DTU	Dentate Gyrus
clu_62436_-	56	chr20:25775312-25867953	FAM182B	cryptic	5.2599999999999997e-23	chr20	DTU	Dentate Gyrus
clu_129529_-	14	chr7:30568989-30585330	AC005154.6	cryptic	3.78e-22	chr7	DTU	Dentate Gyrus
clu_109533_+	10	chr15:25252333-25266431	SNHG14	cryptic	9.13e-21	chr15	DTU	Dentate Gyrus
clu_47374_+	12	chr1:121717237-121872821	.	annotated	2.27e-20	chr1	DTU	Dentate Gyrus
clu_117648_-	34	chr6:94573257-94735654	.	annotated	1.82e-18	chr6	DTU	Dentate Gyrus
clu_101741_-	14	chr1:6477658-6519445	PLEKHG5	cryptic	4.97e-18	chr1	DTU	Dentate Gyrus
clu_109492_+	3	chr15:25187905-25189741	SNHG14	cryptic	1.77e-17	chr15	DTU	Dentate Gyrus
clu_131998_-	92	chr7:158087650-158090219	.	annotated	6.16e-17	chr7	DTU	Dentate Gyrus
clu_79762_+	23	chr13:45378671-45392090	TPT1-AS1	cryptic	2.13e-15	chr13	DTU	Dentate Gyrus
clu_106864_-	5	chr1:248745279-248748341	LYPD8	cryptic	4.27e-15	chr1	DTU	Dentate Gyrus
clu_87100_+	13	chr6:3255229-3302858	PSMG4	cryptic	1.91e-14	chr6	DTU	Dentate Gyrus
clu_143890_+	12	chr7:100338889-100351258	STAG3L5P-PVRIG2P-PILRB	cryptic	6.62e-14	chr7	DTU	Dentate Gyrus
clu_20967_-	29	chr5:63344404-63697805	.	annotated	6.89e-14	chr5	DTU	Dentate Gyrus
clu_59845_+	4	chr5:70421357-70422113	GTF2H2B	annotated	2.16e-13	chr5	DTU	Dentate Gyrus
clu_76306_-	3	chr17:64805100-64821767	PLEKHM1P1	annotated	2.09e-12	chr17	DTU	Dentate Gyrus
clu_20175_-	6	chr5:748506-751141	ZDHHC11B	cryptic	2.12e-12	chr5	DTU	Dentate Gyrus
clu_17548_-	4	chr3:197624187-197627780	AC024560.3	annotated	2.21e-12	chr3	DTU	Dentate Gyrus
clu_49696_+	8	chr1:213051509-213104454	RPS6KC1	cryptic	2.72e-12	chr1	DTU	Dentate Gyrus
clu_1277_-	18	chrX:115845457-115889331	.	annotated	2.91e-12	chrX	DTU	Dentate Gyrus
clu_137153_+	3	chr16:58509352-58511422	NDRG4	annotated	3.69e-12	chr16	DTU	Dentate Gyrus
clu_55753_+	8	chr22:22306903-22309736	LL22NC03-80A10.6	cryptic	9.8e-12	chr22	DTU	Dentate Gyrus
clu_132479_-	9	chr4:9224246-9247975	.	annotated	2.01e-11	chr4	DTU	Dentate Gyrus
clu_74544_-	3	chr17:10686842-10691872	SCO1	cryptic	2.28e-11	chr17	DTU	Dentate Gyrus
clu_12484_-	10	chr8:101719648-101915809	NCALD	cryptic	3.55e-11	chr8	DTU	Dentate Gyrus
clu_132806_-	17	chr4:36012831-36045979	ARAP2	cryptic	8.14e-11	chr4	DTU	Dentate Gyrus
clu_42151_-	10	chr2:97547731-97551289	ANKRD36B	cryptic	1.42e-10	chr2	DTU	Dentate Gyrus
clu_92612_+	11	chr8:12145700-12419142	FAM66D	cryptic	1.44e-10	chr8	DTU	Dentate Gyrus
clu_28353_-	11	chr16:89398092-89398459	.	annotated	1.66e-10	chr16	DTU	Dentate Gyrus
clu_115634_+	4	chr2:217263071-217263778	.	annotated	2.67e-10	chr2	DTU	Dentate Gyrus
clu_74426_-	4	chr17:7626793-7627143	SAT2	cryptic	3.81e-10	chr17	DTU	Dentate Gyrus
clu_117647_-	11	chr6:94547909-94563220	.	annotated	4.07e-10	chr6	DTU	Dentate Gyrus
clu_21674_-	7	chr5:131159611-131165095	HINT1	cryptic	5.57e-10	chr5	DTU	Dentate Gyrus
clu_60245_+	8	chr5:83258677-83398224	XRCC4	cryptic	1.21e-09	chr5	DTU	Dentate Gyrus
clu_42152_-	3	chr2:97558994-97560832	ANKRD36B	cryptic	1.98e-09	chr2	DTU	Dentate Gyrus
clu_60391_+	3	chr5:96740118-96741266	CAST	annotated	2.56e-09	chr5	DTU	Dentate Gyrus
clu_101525_-	4	chr1:1734835-1738321	SLC35E2	cryptic	3.13e-09	chr1	DTU	Dentate Gyrus
clu_25645_+	7	chr20:58673711-58691724	STX16	cryptic	3.4e-09	chr20	DTU	Dentate Gyrus
clu_109497_+	4	chr15:25232755-25234575	SNHG14	cryptic	8.77e-09	chr15	DTU	Dentate Gyrus
clu_4754_-	3	chr11:61335435-61342368	DDB1	cryptic	1.76e-08	chr11	DTU	Dentate Gyrus
clu_142075_+	16	chr7:5823526-5840761	ZNF815P	cryptic	2.1e-08	chr7	DTU	Dentate Gyrus
clu_35099_-	23	chr9:87848698-87933129	XXyac-YM21GA2.3	cryptic	1.05e-07	chr9	DTU	Dentate Gyrus
clu_7957_-	3	chr15:31657077-31870507	OTUD7A	cryptic	1.09e-07	chr15	DTU	Dentate Gyrus
clu_48064_+	12	chr1:148808737-148937747	PDE4DIP	cryptic	1.16e-07	chr1	DTU	Dentate Gyrus
clu_40225_-	36	chr2:11124785-11132273	AC062028.1	cryptic	1.21e-07	chr2	DTU	Dentate Gyrus
clu_118721_+	5	chr14:20343687-20346863	PARP2	cryptic	1.39e-07	chr14	DTU	Dentate Gyrus
clu_16985_-	3	chr3:170381710-170478356	.	annotated	1.76e-07	chr3	DTU	Dentate Gyrus
clu_6299_-	4	chr11:130879711-130903255	SNX19	cryptic	1.89e-07	chr11	DTU	Dentate Gyrus
clu_20191_-	3	chr5:682333-774478	.	annotated	3.48e-07	chr5	DTU	Dentate Gyrus
clu_8659_-	11	chr15:55389433-55439472	CCPG1	cryptic	3.52e-07	chr15	DTU	Dentate Gyrus
clu_126258_+	9	chr17:16782336-16796043	USP32P1	cryptic	3.85e-07	chr17	DTU	Dentate Gyrus
clu_26714_-	4	chr16:18344283-18345378	RP11-1212A22.1	cryptic	4.61e-07	chr16	DTU	Dentate Gyrus
clu_27852_-	6	chr16:70943949-70959647	HYDIN	cryptic	4.61e-07	chr16	DTU	Dentate Gyrus
clu_9140_-	2	chr15:74837435-74837757	ULK3	annotated	4.79e-07	chr15	DTU	Dentate Gyrus
clu_78914_-	9	chr18:36780188-36798449	TPGS2	cryptic	4.82e-07	chr18	DTU	Dentate Gyrus
clu_113819_+	3	chr2:97198491-97200334	ANKRD36	cryptic	5e-07	chr2	DTU	Dentate Gyrus
clu_20595_-	4	chr5:33998782-34005756	AMACR	annotated	7.86e-07	chr5	DTU	Dentate Gyrus
clu_44334_+	5	chr1:2059591-2135262	PRKCZ	annotated	8.74e-07	chr1	DTU	Dentate Gyrus
clu_34804_-	4	chr9:65288015-65289658	CBWD4P	cryptic	8.74e-07	chr9	DTU	Dentate Gyrus
